,Datetime,n_spawn,route,spawn_delay,Adjusted_Datetime,Stops
124,2024-03-04 18:39:00,1.0,route_R101,0,2024-03-04 18:39:00,bs_9-bs_8-bs_16-bs_18-bs_0
125,2024-03-04 18:54:00,1.0,route_R101,0,2024-03-04 18:54:00,bs_9-bs_8-bs_16-bs_18-bs_0
126,2024-03-04 19:09:00,1.0,route_R101,0,2024-03-04 19:09:00,bs_9-bs_8-bs_16-bs_18-bs_0
127,2024-03-04 19:24:00,1.0,route_R101,0,2024-03-04 19:24:00,bs_9-bs_8-bs_16-bs_18-bs_0
128,2024-03-04 19:39:00,1.0,route_R101,0,2024-03-04 19:39:00,bs_9-bs_8-bs_16-bs_18-bs_0
129,2024-03-04 19:54:00,1.0,route_R101,0,2024-03-04 19:54:00,bs_9-bs_8-bs_16-bs_18-bs_0
130,2024-03-04 20:23:00,1.0,route_R101,0,2024-03-04 20:23:00,bs_9-bs_8-bs_16-bs_18-bs_0
131,2024-03-04 20:53:00,1.0,route_R101,0,2024-03-04 20:53:00,bs_9-bs_8-bs_16-bs_18-bs_0
132,2024-03-04 21:23:00,1.0,route_R101,0,2024-03-04 21:23:00,bs_9-bs_8-bs_16-bs_18-bs_0
133,2024-03-04 21:53:00,1.0,route_R101,0,2024-03-04 21:53:00,bs_9-bs_8-bs_16-bs_18-bs_0
134,2024-03-04 22:23:00,1.0,route_R101,0,2024-03-04 22:23:00,bs_9-bs_8-bs_16-bs_18-bs_0
135,2024-03-04 22:53:00,1.0,route_R101,0,2024-03-04 22:53:00,bs_9-bs_8-bs_16-bs_18-bs_0
136,2024-03-04 23:23:00,1.0,route_R101,0,2024-03-04 23:23:00,bs_9-bs_8-bs_16-bs_18-bs_0
137,2024-03-04 23:53:00,1.0,route_R101,0,2024-03-04 23:53:00,bs_9-bs_8-bs_16-bs_18-bs_0
138,2024-03-04 06:06:00,1.0,route_102,0,2024-03-04 06:06:00,bs_23-bs_21-bs_5
139,2024-03-04 06:36:00,1.0,route_102,0,2024-03-04 06:36:00,bs_23-bs_21-bs_5
140,2024-03-04 07:06:00,1.0,route_102,0,2024-03-04 07:06:00,bs_23-bs_21-bs_5
141,2024-03-04 07:36:00,1.0,route_102,0,2024-03-04 07:36:00,bs_23-bs_21-bs_5
142,2024-03-04 08:06:00,1.0,route_102,0,2024-03-04 08:06:00,bs_23-bs_21-bs_5
143,2024-03-04 08:36:00,1.0,route_102,0,2024-03-04 08:36:00,bs_23-bs_21-bs_5
144,2024-03-04 09:06:00,1.0,route_102,0,2024-03-04 09:06:00,bs_23-bs_21-bs_5
145,2024-03-04 09:36:00,1.0,route_102,0,2024-03-04 09:36:00,bs_23-bs_21-bs_5
146,2024-03-04 10:06:00,1.0,route_102,0,2024-03-04 10:06:00,bs_23-bs_21-bs_5
147,2024-03-04 10:36:00,1.0,route_102,0,2024-03-04 10:36:00,bs_23-bs_21-bs_5
148,2024-03-04 11:06:00,1.0,route_102,0,2024-03-04 11:06:00,bs_23-bs_21-bs_5
149,2024-03-04 11:36:00,1.0,route_102,0,2024-03-04 11:36:00,bs_23-bs_21-bs_5
150,2024-03-04 12:06:00,1.0,route_102,0,2024-03-04 12:06:00,bs_23-bs_21-bs_5
151,2024-03-04 12:36:00,1.0,route_102,0,2024-03-04 12:36:00,bs_23-bs_21-bs_5
152,2024-03-04 13:06:00,1.0,route_102,0,2024-03-04 13:06:00,bs_23-bs_21-bs_5
153,2024-03-04 13:36:00,1.0,route_102,0,2024-03-04 13:36:00,bs_23-bs_21-bs_5
154,2024-03-04 14:06:00,1.0,route_102,0,2024-03-04 14:06:00,bs_23-bs_21-bs_5
155,2024-03-04 14:36:00,1.0,route_102,0,2024-03-04 14:36:00,bs_23-bs_21-bs_5
156,2024-03-04 15:06:00,1.0,route_102,0,2024-03-04 15:06:00,bs_23-bs_21-bs_5
157,2024-03-04 15:36:00,1.0,route_102,0,2024-03-04 15:36:00,bs_23-bs_21-bs_5
158,2024-03-04 16:06:00,1.0,route_102,0,2024-03-04 16:06:00,bs_23-bs_21-bs_5
159,2024-03-04 16:36:00,1.0,route_102,0,2024-03-04 16:36:00,bs_23-bs_21-bs_5
160,2024-03-04 17:06:00,1.0,route_102,0,2024-03-04 17:06:00,bs_23-bs_21-bs_5
161,2024-03-04 17:36:00,1.0,route_102,0,2024-03-04 17:36:00,bs_23-bs_21-bs_5
162,2024-03-04 18:06:00,1.0,route_102,0,2024-03-04 18:06:00,bs_23-bs_21-bs_5
163,2024-03-04 18:36:00,1.0,route_102,0,2024-03-04 18:36:00,bs_23-bs_21-bs_5
164,2024-03-04 19:06:00,1.0,route_102,0,2024-03-04 19:06:00,bs_23-bs_21-bs_5
165,2024-03-04 19:36:00,1.0,route_102,0,2024-03-04 19:36:00,bs_23-bs_21-bs_5
166,2024-03-04 19:59:00,1.0,route_102,0,2024-03-04 19:59:00,bs_23-bs_21-bs_5
167,2024-03-04 20:59:00,1.0,route_102,0,2024-03-04 20:59:00,bs_23-bs_21-bs_5
168,2024-03-04 21:59:00,1.0,route_102,0,2024-03-04 21:59:00,bs_23-bs_21-bs_5
169,2024-03-04 22:59:00,1.0,route_102,0,2024-03-04 22:59:00,bs_23-bs_21-bs_5
170,2024-03-04 05:06:00,1.0,route_103,0,2024-03-04 05:06:00,bs_23-bs_21-bs_5
